checc_id,10-Jun,11-Jun,12-Jun,13-Jun,17-Jun,18-Jun,19-Jun,20-Jun,24-Jun,25-Jun,26-Jun,27-Jun,1-Jul,2-Jul,3-Jul,8-Jul,9-Jul,10-Jul,11-Jul,15-Jul,16-Jul,17-Jul,18-Jul,22-Jul,23-Jul,24-Jul,25-Jul,29-Jul,30-Jul,31-Jul,1-Aug
3627,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3206,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
3212,1,1,1,1,1,1,1,,1,,1,1,,1,1,,,,,1,1,1,1,,1,1,1,1,1,1,
3932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1
3962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2304,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3916,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3623,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3644,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
3365,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,,,,,1,,1,1
3430,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,1,1,1
3155,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,,,,,,,,1,1,1,1
3576,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3629,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2623,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1
3572,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
3955,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
2160,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,1,,1,1,1,
3921,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3135,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3918,1,1,,0,,1,1,,1,,1,1,1,,1,1,1,1,1,1,1,,1,,1,1,,1,,1,1
3495,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3372,,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,
2223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3550,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3607,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3961,1,,1,0,1,1,1,,,1,1,1,,1,,,,1,1,,1,1,1,1,1,1,,1,1,1,1
2457,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1
3555,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
3925,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,1,1,1,1
3124,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1
